scenario,config,month,rev_sales_moto_retail,rev_sales_ebike_retail,rev_sales_rider,rev_b2b_wholesale,rev_parts,rev_rental,rev_battery_sub,rev_service,rev_total,cogs_total,gross_profit,opex_staff,opex_occupancy,opex_insurance,opex_security,opex_marketing,opex_fleet_variable,opex_payment_fees,opex_gna_permits,opex_van,opex_inventory_carry,opex_total,ebitda,depreciation,operating_profit,capex,working_capital_change,net_cash,cum_cash,units_moto,units_ebike,units_b2b,rider_customers,rentals_active,rental_fleet,battery_subs,battery_pool_packs,installed_base,inventory_value,fte
conservative,ceres_8000,1,2175.00,1150.00,3033.97,166.25,176.89,182.52,32.50,213.33,7130.47,5862.15,1268.32,20951.79,3832.90,3712.50,5300.00,15758.33,2105.64,341.27,1850,0.00,505.53,54357.97,-53089.65,6760.27,-59849.92,230446.24,64442.50,-347387.35,-347387.35,0.62,1.59,0.07,2.17,0.98,25.00,0.54,1.08,20,40442.50,3
conservative,ceres_8000,2,4350.00,2300.00,3261.93,332.50,264.17,365.04,65.00,284.36,11223.00,9083.83,2139.17,21033.61,11832.90,3712.50,5300.00,3803.83,2120.25,533.17,1850,0.00,505.53,50691.79,-48552.62,6790.36,-55342.99,1192.89,0.00,-49154.48,-396541.82,1.13,2.17,0.13,4.33,1.95,25.00,1.08,2.17,22.21,40442.50,3
conservative,ceres_8000,3,6525.00,3450.00,3489.88,498.75,351.45,547.56,97.50,364.11,15324.25,12310.30,3013.95,21115.44,11832.90,3712.50,5300.00,3849.33,2134.85,725.38,1850,0.00,505.53,51025.93,-48011.98,6820.46,-54832.44,1222.99,0.00,-48643.93,-445185.75,1.64,2.75,0.20,6.50,2.93,25.00,1.62,3.25,25.51,40442.50,3
conservative,ceres_8000,4,8700.00,4216.67,3717.84,665.00,425.40,730.08,130.00,452.59,19037.57,15227.54,3810.03,21184.76,11832.90,3712.50,5300.00,3894.83,2149.45,898.15,1850,0.00,505.53,51328.12,-47518.09,6850.55,-54368.64,1253.08,0.00,-48180.13,-493365.88,2.15,3.17,0.27,8.67,3.90,25.00,2.17,4.33,29.91,40442.50,3
conservative,ceres_8000,5,10875.00,4983.33,3945.79,831.25,499.35,912.60,162.50,548.46,22758.28,18148.84,4609.44,21254.09,11832.90,3712.50,5300.00,3940.33,2164.05,1071.18,1850,0.00,505.53,51630.58,-47021.14,6880.64,-53901.78,1283.17,0.00,-47713.27,-541079.15,2.66,3.58,0.33,10.83,4.88,25.00,2.71,5.42,35.22,40442.50,3
conservative,ceres_8000,6,13050.00,5750.00,4173.75,997.50,573.29,1095.12,195.00,651.73,26486.39,21074.21,5412.18,21323.41,11832.90,3712.50,5300.00,3985.83,2178.65,1244.47,1850,900,539.26,52867.03,-47454.85,8021.84,-55476.70,41313.27,2698.30,-90875.37,-631954.52,3.17,4.00,0.40,13.00,5.85,25.00,3.25,6.50,41.47,43140.80,3
conservative,ceres_8000,7,14500.00,6325.00,4401.70,1330.00,627.24,1277.64,227.50,755.72,29444.81,23405.50,6039.31,21373.99,11832.90,3712.50,5300.00,4031.33,2193.25,1371.17,1850,900,576.90,53142.04,-47102.73,8051.94,-55154.67,1343.36,3010.98,-50866.02,-682820.54,3.51,4.33,0.53,15.17,6.83,25.00,3.79,7.58,48.63,46151.77,3
conservative,ceres_8000,8,15950.00,6900.00,4629.66,1662.50,681.19,1460.16,260.00,865.11,32408.62,25739.75,6668.86,21424.56,11832.90,3712.50,5300.00,4076.83,2207.86,1498.06,1850,900,614.53,53417.24,-46748.38,8082.03,-54830.41,1373.45,3010.98,-50541.76,-733362.30,3.85,4.66,0.67,17.33,7.80,25.00,4.33,8.67,56.47,49162.75,3
conservative,ceres_8000,9,17400.00,7475.00,4857.61,1995.00,735.13,1642.68,292.50,979.90,35377.82,28076.98,7300.85,21475.14,11832.90,3712.50,5300.00,4122.33,2222.46,1625.14,1850,900,670.32,53710.78,-46409.94,8112.12,-54522.06,1403.54,4462.53,-51684.97,-785047.27,4.19,5.00,0.80,19.50,8.78,25.00,4.88,9.75,64.99,53625.28,3
conservative,ceres_8000,10,18850.00,8050.00,5085.57,2327.50,789.08,1825.20,325.00,1100.08,38352.43,30417.17,7935.26,21525.71,11832.90,3712.50,5300.00,4167.83,2237.06,1752.42,1850,900,726.25,54004.67,-46069.42,8142.21,-54211.63,1433.64,4474.71,-51386.72,-836433.99,4.54,5.33,0.93,21.67,9.75,25.00,5.42,10.83,74.18,58099.99,3
conservative,ceres_8000,11,20300.00,8625.00,5313.52,2660.00,843.03,2007.72,357.50,1225.65,41332.42,32760.33,8572.10,21576.29,11832.90,3712.50,5300.00,4213.33,2251.66,1879.89,1850,900,782.18,54298.75,-45726.66,8172.31,-53898.97,1463.73,4474.71,-51074.06,-887508.05,4.88,5.66,1.07,23.83,10.72,25.00,5.96,11.92,84.04,62574.71,3
conservative,ceres_8000,12,21750.00,9200.00,5541.48,2992.50,896.97,2190.24,390.00,1356.62,44317.81,35106.45,9211.36,21626.86,11832.90,3712.50,5300.00,4258.83,2266.26,2007.56,1850,900,838.12,54593.03,-45381.67,8202.40,-53584.07,1493.82,4474.71,-50759.16,-938267.21,5.22,5.99,1.20,26.00,11.70,25.00,6.50,13.00,94.58,67049.42,3
conservative,ceres_8000,13,22656.25,9391.67,5162.64,3241.88,908.21,2336.26,416.00,1469.65,45582.55,36068.77,9513.78,25374.19,12152.90,3712.50,5300.00,4152.67,2277.94,2054.44,1850,900,860.37,58635.01,-49121.23,8226.47,-57347.70,1409.56,1779.83,-51719.58,-989986.79,5.41,5.94,1.30,27.73,12.48,25.00,6.93,13.87,105.79,68829.25,3.50
conservative,ceres_8000,14,23562.50,9583.33,5345.00,3491.25,937.37,2482.27,442.00,1583.81,47427.53,37495.14,9932.39,25401.53,12152.90,3712.50,5300.00,4189.07,2289.62,2130.21,1850,900,893.93,58819.77,-48887.38,8250.55,-57137.93,1433.64,2685.20,-52415.17,-1042401.96,5.63,6.09,1.40,29.47,13.26,25.00,7.37,14.73,117.14,71514.45,3.50
conservative,ceres_8000,15,24468.75,9775.00,5527.37,3740.62,966.52,2628.29,468.00,1700.88,49275.43,38923.12,10352.31,25428.87,12152.90,3712.50,5300.00,4225.47,2301.31,2206.09,1850,900,927.50,59004.63,-48652.32,8274.62,-56926.94,1457.71,2685.20,-52204.19,-1094606.15,5.85,6.24,1.50,31.20,14.04,25.00,7.80,15.60,128.86,74199.65,3.50
conservative,ceres_8000,16,25375.00,9966.67,5709.73,3990.00,995.68,2774.30,494.00,1820.86,51126.24,40352.70,10773.54,25456.20,12152.90,3712.50,5300.00,4261.87,2312.99,2282.08,1850,900,961.06,59189.59,-48416.05,8298.70,-56714.75,1481.78,2685.20,-51992.00,-1146598.15,6.06,6.38,1.60,32.93,14.82,25.00,8.23,16.47,140.94,76884.86,3.50
conservative,ceres_8000,17,26281.25,10158.33,5892.09,4239.38,1024.84,2920.32,520.00,1943.76,52979.97,41783.89,11196.08,25483.53,12152.90,3712.50,5300.00,4298.27,2324.67,2358.17,1850,900,994.63,59374.66,-48178.58,8322.77,-56501.35,1505.86,2685.20,-51778.60,-1198376.75,6.28,6.53,1.70,34.67,15.60,25.00,8.67,17.33,153.39,79570.06,3.50
conservative,ceres_8000,18,27187.50,10350.00,6074.46,4488.75,1053.99,3066.34,546.00,2069.58,54836.62,43226.48,11610.14,25510.87,12152.90,3741.00,5300.00,4334.67,2419.99,2434.36,1850,900,1028.19,59671.98,-48061.84,8413.83,-56475.67,3444.91,2685.20,-53577.27,-1251954.02,6.49,6.68,1.80,36.40,16.38,26.00,9.10,18.20,166.20,82255.26,3.50
conservative,ceres_8000,19,28093.75,10541.67,6256.82,4738.12,1083.15,3212.35,572.00,2198.31,56696.18,44670.67,12025.51,25538.21,12152.90,3769.50,5300.00,4371.07,2515.31,2510.66,1850,900,1061.76,59969.40,-47943.89,8504.89,-56448.78,3492.63,2685.20,-53483.40,-1305437.41,6.71,6.83,1.90,38.13,17.16,27.00,9.53,19.07,179.37,84940.46,3.50
conservative,ceres_8000,20,29000.00,10733.33,6439.19,4987.50,1112.31,3358.37,598.00,2329.96,58558.66,46116.47,12442.19,25565.54,12152.90,3798.00,5300.00,4407.47,2610.64,2587.07,1850,900,1095.32,60266.93,-47824.74,8595.95,-56420.69,3540.34,2685.20,-53388.32,-1358825.73,6.92,6.98,2.00,39.87,17.94,28.00,9.97,19.93,192.91,87625.67,3.50
conservative,ceres_8000,21,29906.25,10925.00,6621.55,5236.88,1141.47,3504.38,624.00,2464.53,60424.05,47563.87,12860.18,25592.88,12152.90,3826.50,5300.00,4443.87,2705.96,2663.57,1850,900,1128.89,60564.56,-47704.38,8687.01,-56391.39,3588.06,2685.20,-53292.03,-1412117.76,7.14,7.13,2.10,41.60,18.72,29.00,10.40,20.80,206.82,90310.87,3.50
conservative,ceres_8000,22,30812.50,11116.67,6803.91,5486.25,1170.62,3650.40,650.00,2602.01,62292.36,49012.88,13279.49,25620.21,12152.90,3855.00,5300.00,4480.27,2801.28,2740.19,1850,900,1162.45,60862.30,-47582.81,8778.06,-56360.88,3635.77,2685.20,-53194.54,-1465312.30,7.35,7.28,2.20,43.33,19.50,30.00,10.83,21.67,221.08,92996.07,3.50
conservative,ceres_8000,23,31718.75,11308.33,6986.28,5735.63,1199.78,3796.42,676.00,2742.40,64163.59,50473.28,13690.30,25647.54,12152.90,3912.00,5300.00,4516.67,2980.25,2816.91,1850,900,1196.02,61272.28,-47581.98,8936.11,-56518.09,5598.47,2685.20,-55109.12,-1520421.42,7.57,7.43,2.30,45.07,20.28,32.00,11.27,22.53,235.72,95681.28,3.50
conservative,ceres_8000,24,32625.00,11500.00,7168.64,5985.00,1228.94,3942.43,702.00,2885.71,66037.73,51925.49,14112.23,25674.88,12152.90,3940.50,5300.00,4553.07,3075.57,2893.73,1850,900,1229.58,61570.23,-47458.00,9027.17,-56485.17,3754.85,2685.20,-53117.87,-1573539.29,7.79,7.58,2.40,46.80,21.06,33.00,11.70,23.40,250.71,98366.48,3.50
conservative,ceres_8000,25,33168.75,11691.67,7047.61,6151.25,1241.74,4070.20,724.75,3018.61,67114.57,52718.39,14396.18,25686.88,12485.70,3969.00,5300.00,4513.63,3169.43,2935.40,1850,900,1247.06,62057.11,-47660.93,9115.22,-56776.15,43936.31,1398.53,-92191.96,-1665731.25,7.91,7.62,2.47,48.32,21.74,34.00,12.08,24.16,266.08,99765.01,3.50
conservative,ceres_8000,26,33712.50,11883.33,7207.18,6317.50,1263.50,4197.96,747.50,3152.78,68482.26,53743.71,14738.54,25707.28,12485.70,3997.50,5300.00,4545.48,3263.30,2991.54,1850,900,1270.20,62311.01,-47572.47,9203.27,-56775.73,3790.09,1851.22,-52386.32,-1718117.57,8.04,7.76,2.53,49.83,22.43,35.00,12.46,24.92,281.60,101616.23,3.50
conservative,ceres_8000,27,34256.25,12075.00,7366.75,6483.75,1285.27,4325.72,770.25,3289.13,69852.12,54770.23,15081.89,25727.69,12485.70,4026.00,5300.00,4577.33,3357.16,3047.76,1850,900,1293.34,62564.99,-47483.10,9291.32,-56774.41,3834.80,1851.22,-52318.01,-1770435.58,8.17,7.90,2.60,51.35,23.11,36.00,12.84,25.68,297.39,103467.45,3.50
conservative,ceres_8000,28,34800.00,12266.67,7526.31,6650.00,1307.03,4453.49,793.00,3427.66,71224.16,55797.94,15426.21,25748.09,12485.70,4054.50,5300.00,4609.18,3451.02,3104.06,1850,900,1316.48,62819.04,-47392.83,9379.37,-56772.19,3879.51,1851.22,-52248.81,-1822684.39,8.30,8.04,2.67,52.87,23.79,37.00,13.22,26.43,313.46,105318.67,3.50
conservative,ceres_8000,29,35343.75,12458.33,7685.88,6816.25,1328.79,4581.25,815.75,3568.36,72598.37,56826.85,15771.52,25768.49,12485.70,4083.00,5300.00,4641.03,3544.89,3160.44,1850,900,1339.62,63073.17,-47301.65,9467.42,-56769.07,3924.21,1851.22,-52178.70,-1874863.10,8.43,8.18,2.73,54.38,24.47,38.00,13.60,27.19,329.80,107169.89,3.50
conservative,ceres_8000,30,35887.50,12650.00,7845.45,6982.50,1350.55,4709.02,838.50,3711.24,73974.76,57856.96,16117.80,25788.89,12485.70,4111.50,5300.00,4672.88,3638.75,3216.89,1850,900,1362.76,63327.38,-47209.58,9555.47,-56765.05,3968.92,1851.22,-52107.69,-1926970.79,8.56,8.32,2.80,55.90,25.16,39.00,13.97,27.95,346.41,109021.11,3.50
conservative,ceres_8000,31,36431.25,12841.67,8005.02,7148.75,1372.32,4836.78,861.25,3856.30,75353.33,58888.27,16465.06,25809.30,12485.70,4140.00,5300.00,4704.73,3732.61,3273.42,1850,900,1385.90,63581.67,-47116.61,9643.52,-56760.12,4013.63,1851.22,-52035.79,-1979006.58,8.69,8.46,2.87,57.42,25.84,40.00,14.35,28.71,363.29,110872.33,3.50
