zone,polygon_source,area_sqmi,population_acs,population_year,zero_vehicle_hh_share,restaurants_naics7225,drinking_places_naics7224,restaurants_dph,restaurants_per_sqmi,notes,restaurants_socrata_strict7225_only,population_areaweighted_tiger,n_tracts_by_centroid,tract_aland_sqmi,socrata_restaurants_per_sqmi,pct_area_inside_city_of_la
Downtown,LA GeoHub / EmpowerLA Neighborhood Council Boundaries: Downtown Los Angeles + Arts District Little Tokyo,5.91,65583,ACS 2020-2024 5-yr,0.322,690,34,910,154.0,Socrata restaurant rows lack coordinates for 26.6% of unique records citywide (not allocated to zones).,34,69041,25,5.69,116.8,100.0
Koreatown,LA GeoHub / EmpowerLA Neighborhood Council Boundaries: Wilshire Center Koreatown,2.4,93936,ACS 2020-2024 5-yr,0.234,493,21,611,254.6,Socrata restaurant rows lack coordinates for 26.6% of unique records citywide (not allocated to zones).,30,98010,29,2.28,205.4,100.0
Westlake,LA GeoHub / EmpowerLA Neighborhood Council Boundaries: Westlake North + Westlake South,1.05,49512,ACS 2020-2024 5-yr,0.418,92,3,104,99.1,Socrata restaurant rows lack coordinates for 26.6% of unique records citywide (not allocated to zones).,5,47673,15,1.0,87.6,100.0
Pico-Union,LA GeoHub / EmpowerLA Neighborhood Council Boundaries: Pico Union,1.61,36797,ACS 2020-2024 5-yr,0.256,130,4,126,78.1,Socrata restaurant rows lack coordinates for 26.6% of unique records citywide (not allocated to zones).,10,36364,13,1.67,80.6,100.0
USC,LA GeoHub / EmpowerLA Neighborhood Council Boundaries: Empowerment Congress North,3.82,73549,ACS 2020-2024 5-yr,0.261,162,1,211,55.2,Socrata restaurant rows lack coordinates for 26.6% of unique records citywide (not allocated to zones).,8,74129,21,3.76,42.4,100.0
radius_1.5mi,"1.5-mile circle around 768 Ceres Ave (34.03626,-118.24470), UTM 11N buffer",7.07,86772,ACS 2020-2024 5-yr,0.309,731,35,975,137.9,100.0% of circle area is inside City of LA; Socrata (City-only) undercounts outside it. Socrata restaurant rows lack coordinates for 26.6% of unique records citywide.,39,85809,31,7.68,103.4,100.0
radius_3mi,"3-mile circle around 768 Ceres Ave (34.03626,-118.24470), UTM 11N buffer",28.27,451823,ACS 2020-2024 5-yr,0.26,1568,66,2021,71.5,91.4% of circle area is inside City of LA; Socrata (City-only) undercounts outside it. Socrata restaurant rows lack coordinates for 26.6% of unique records citywide.,86,448741,139,26.7,55.5,91.4
radius_5mi,"5-mile circle around 768 Ceres Ave (34.03626,-118.24470), UTM 11N buffer",78.54,1208539,ACS 2020-2024 5-yr,0.197,2892,113,4022,51.2,75.1% of circle area is inside City of LA; Socrata (City-only) undercounts outside it. Socrata restaurant rows lack coordinates for 26.6% of unique records citywide.,172,1207935,355,77.02,36.8,75.1
City of LA,Union of all 99 Neighborhood Council polygons (EmpowerLA),438.75,3774788,ACS 2020-2024 5-yr,0.121,8568,268,11396,26.0,"Socrata counts here are geocoded rows only; citywide unique restaurants incl. rows without coordinates = 12399 (strict 7225x-only = 1318), drinking places = 376. City union of NC polygons (some NC edges overlap/gap slightly).",501,3758375,1086,430.27,19.5,100.0
LA County,"All 2,498 LA County census tracts (Gazetteer ALAND, land only)",4060.3,9808667,ACS 2020-2024 5-yr,0.089,,,28161,6.9,"Socrata source covers City of LA only (N/A). DPH inventory excludes Pasadena, Long Beach and Vernon (own health depts). Area = land area of tracts incl. Channel Islands & mountains.",,,2498,4060.3,,
