metric                                conservative          base    aggressive |     MC P10     MC P50     MC P90
M1_zone                                        755         2,074         5,614 |      1,643      2,102      2,690
M1_r1_5                                        375         1,031         2,790 |        817      1,044      1,337
M1_r3                                          777         2,136         5,783 |      1,693      2,165      2,771
M1_city                                      5,157        11,472        26,087 |      9,319     11,671     14,639
M1_county                                   12,744        28,348        64,464 |     23,029     28,840     36,176
orders_per_courier_day_derived                  11             7             5 |          6          7          9
county_orders_per_day                      145,708       206,400       302,545 |    187,045    210,948    237,974
M2_zone                                        755         2,055         5,533 |      1,645      2,067      2,597
M2_r1_5                                        375         1,021         2,750 |        817      1,027      1,291
M2_r3                                          778         2,117         5,700 |      1,694      2,129      2,675
M2_city                                      5,159        11,369        25,711 |      9,309     11,468     14,099
M2_county                                   12,749        28,093        63,535 |     23,005     28,340     34,841
M3_county_weekly_active                     24,480        49,400        88,200 |     40,677     49,065     58,572
M3_zone                                        435         1,265         3,226 |      1,008      1,267      1,593
M3_r1_5                                        216           629         1,603 |        501        630        791
M3_r3                                          448         1,303         3,323 |      1,039      1,305      1,640
M3_city                                      2,972         6,997        14,991 |      5,736      7,036      8,608
M3_county                                    7,344        17,290        37,044 |     14,174     17,386     21,272
DAILY_zone                                     628         1,753         4,645 |      1,483      1,765      2,105
WEEKLY_zone                                  2,094         5,010        11,059 |      4,272      4,968      5,770
SPREAD_zone                                   1.74          1.64          1.74 |       1.41       1.79          2
DAILY_r1_5                                     312           871         2,308 |        737        877      1,046
WEEKLY_r1_5                                  1,040         2,490         5,496 |      2,123      2,469      2,867
SPREAD_r1_5                                   1.74          1.64          1.74 |       1.41       1.79          2
DAILY_r3                                       647         1,806         4,785 |      1,528      1,818      2,169
WEEKLY_r3                                    2,157         5,160        11,392 |      4,400      5,117      5,943
SPREAD_r3                                     1.74          1.64          1.74 |       1.41       1.79          2
DAILY_city                                   4,292         9,699        21,583 |      8,500      9,797     11,318
WEEKLY_city                                 14,307        27,712        51,389 |     24,693     27,553     30,721
SPREAD_city                                   1.74          1.64          1.74 |       1.41       1.79          2
DAILY_county                                10,606        23,968        53,335 |     21,004     24,209     27,968
WEEKLY_county                               35,355        68,481       126,989 |     61,021     68,086     75,915
SPREAD_county                                 1.74          1.64          1.74 |       1.41       1.79          2
two_wheel_courier_share_la                    0.25          0.34          0.44 |       0.30       0.34       0.38
two_wheel_courier_share_zone                  0.26          0.42          0.64 |       0.37       0.42       0.48
DAILY_zone_car                                 462         1,017         1,675 |        831      1,016      1,240
DAILY_zone_two_wheel                           166           736         2,970 |        596        744        930
DAILY_zone_ebike_emoped                         66           368         1,842 |        293        376        482
DAILY_zone_gas_scooter_moto                     66           206           535 |        155        211        284
DAILY_zone_standing_escooter                    25            96           297 |         73         94        120
DAILY_zone_pedal_bicycle                         8            66           297 |       0.00         59        125
DAILY_r3_car                                   476         1,048         1,725 |        856      1,046      1,277
DAILY_r3_two_wheel                             171           759         3,059 |        614        766        958
DAILY_r3_ebike_emoped                           68           379         1,897 |        302        387        496
DAILY_r3_gas_scooter_moto                       68           212           551 |        160        217        292
DAILY_r3_standing_escooter                      26            99           306 |         76         97        124
DAILY_r3_pedal_bicycle                           9            68           306 |       0.00         61        129
DAILY_county_two_wheel                       2,673         8,053        23,521 |      6,839      8,178      9,770
DAILY_city_two_wheel                         1,082         3,259         9,518 |      2,768      3,310      3,954
M5_county_two_wheel_daily                    7,244        14,547        34,735 |     12,568     15,988     20,455
M5_vs_M123_county_two_wheel                      3          1.81          1.48 |       1.46       1.96          3
M5_zone_two_wheel_daily                        450         1,330         4,386 |      1,103      1,456      1,922
M5_r3_two_wheel_daily                          464         1,370         4,518 |      1,136      1,500      1,980
WEEKLY_zone_two_wheel_people                   222         1,133         5,400 |        905      1,146      1,450
WEEKLY_zone_car_people                       1,540         2,906         3,987 |      2,383      2,860      3,401
WEEKLY_r3_two_wheel_people                     228         1,167         5,563 |        932      1,180      1,494
WEEKLY_r3_car_people                         1,586         2,993         4,107 |      2,455      2,946      3,503
TAM_people_zone_all_modes                    1,761         4,039         9,388 |      3,432      4,020      4,702
TAM_people_zone_two_wheel                      222         1,133         5,400 |        905      1,146      1,450
TAM_people_zone_ebike_emoped                    89           566         3,348 |        446        579        752
SAM_people_hub                                  49           398         2,892 |        316        422        561
SOM_A_people_m12                              1.97            28           347 |         21         32         47
SOM_A_people_m24                                 3            49           617 |         35         53         77
SOM_B_people_m24                                 6           105         1,050 |         69        101        146
SOM_B_people_m12                                 4            60           591 |         36         61        103
SOM_m24_headline                                 4            72           805 |         53         73         99
SOM_m12_headline                                 3            41           453 |         30         44         63
SOM_B_vs_A_m24                                   2             2          1.70 |       1.22       1.91          3
