nhood,area_sqmi,pop,naics722,dph_rest
Financial District/South Beach,1.12,24519,715,593
Mission,1.88,54431,481,557
Mission Bay,0.79,16710,422,104
Tenderloin,0.39,32009,260,310
South of Market,0.88,24698,258,168
Chinatown,0.22,12644,241,263
Bayview Hunters Point,5.17,39816,230,65
Sunset/Parkside,4.23,75455,201,221
Marina,1.01,23733,187,170
Nob Hill,0.41,23526,185,179
Hayes Valley,0.49,18240,165,138
North Beach,0.49,11497,157,173
Outer Richmond,1.79,44049,147,176
Inner Richmond,0.74,20261,145,134
Castro/Upper Market,0.86,22024,113,112
West of Twin Peaks,3.06,36882,112,98
Inner Sunset,1.42,27534,110,122
Bernal Heights,1.08,24725,106,71
Potrero Hill,1.14,15463,104,67
Russian Hill,0.49,16879,104,99
Haight Ashbury,0.56,17780,85,72
Lakeshore,2.53,12019,81,57
Pacific Heights,0.79,22976,77,77
Noe Valley,0.98,23334,71,65
Western Addition,0.58,22066,68,67
Japantown,0.12,3936,58,74
Excelsior,1.39,37915,57,61
Outer Mission,1.0,21717,47,44
Portola,0.83,15558,40,41
Lone Mountain/USF,0.58,16387,39,35
Presidio Heights,0.5,9942,37,26
Oceanview/Merced/Ingleside,1.05,24770,32,20
Treasure Island,0.89,2829,21,3
Glen Park,0.67,8458,18,16
Visitacion Valley,0.61,17068,17,9
Presidio,2.36,3808,14,2
Golden Gate Park,1.72,49,8,9
McLaren Park,0.62,155,1,0
Lincoln Park,0.39,179,1,1
Seacliff,0.21,2419,1,0
Twin Peaks,0.66,7861,1,0
