site,lat,lon,rest_1.0mi,rest_1.5mi,rest_2.0mi,rest_3.0mi,tw_index_3mi,pop_1.5mi,zero_veh_share_1.5mi,pop_3.0mi,zero_veh_share_3.0mi
DTLA Financial (7th/Figueroa),34.0485,-118.259,716,1136,1531,2537,464.9,165448,0.337,508232,0.258
DTLA Historic Core (6th/Spring),34.0455,-118.25,825,1068,1345,2279,441.4,128474,0.325,464470,0.257
Westlake / MacArthur Park (7th/Alvarado),34.057,-118.275,333,1014,1736,2746,415.5,221963,0.275,561129,0.245
DTLA South Park (Pico/Flower),34.039,-118.265,545,981,1491,2510,402.0,145886,0.35,551345,0.257
Fashion District (9th/Santee),34.038,-118.2545,656,1010,1347,2222,397.6,108320,0.313,498726,0.26
Koreatown East (6th/Vermont),34.0632,-118.2917,553,974,1339,2742,383.0,244610,0.257,602800,0.236
Little Tokyo (1st/Central),34.05,-118.24,632,997,1290,1987,379.5,107049,0.289,438606,0.25
Pico-Union (Pico/Union),34.043,-118.279,275,929,1661,2702,379.2,182267,0.312,595668,0.247
"768 Ceres Ave (baseline, Warehouse District)",34.0363,-118.2447,547,975,1217,2022,344.1,86772,0.309,454097,0.259
Koreatown South (Olympic/Normandie),34.0525,-118.3005,591,922,1190,2537,335.8,215181,0.246,592058,0.229
Koreatown Core (Wilshire/Western),34.0617,-118.3089,536,859,1161,2476,326.2,190972,0.208,619657,0.213
Arts District (Traction/Alameda),34.043,-118.2335,326,906,1250,1910,317.6,94017,0.301,392989,0.257
Chinatown (Broadway/College),34.064,-118.238,207,664,1181,1844,289.1,82797,0.245,409666,0.233
Echo Park (Sunset/Echo Park Ave),34.078,-118.26,170,293,805,2504,281.6,111410,0.178,514432,0.229
Koreatown West (Wilshire/Crenshaw),34.062,-118.3255,175,597,1126,2479,264.5,127182,0.149,564886,0.191
Hollywood (Hollywood/Vine),34.1016,-118.3267,396,641,869,1723,261.8,105840,0.201,348780,0.165
USC / Exposition (Figueroa/Jefferson),34.025,-118.279,195,411,868,2223,254.5,128023,0.25,567688,0.251
West Hollywood (Santa Monica/La Cienega),34.09,-118.3765,348,555,894,1606,239.6,77874,0.108,242671,0.115
East Hollywood (Sunset/Vermont),34.098,-118.2915,314,494,748,1895,226.1,124998,0.18,429915,0.194
Silver Lake (Sunset/Silver Lake Blvd),34.0905,-118.2705,157,419,661,1914,201.3,100502,0.121,473161,0.205
Santa Monica (Wilshire/4th),34.023,-118.495,305,427,546,927,177.3,68507,0.123,171670,0.095
Boyle Heights (Cesar Chavez/Soto),34.047,-118.21,143,298,662,1467,171.2,99648,0.146,294170,0.209
Mid-City (Pico/Fairfax),34.048,-118.361,108,312,676,1591,150.5,102616,0.099,351479,0.105
Westwood (Westwood/Wilshire),34.059,-118.444,204,462,658,1074,150.4,103239,0.118,230205,0.094
Lincoln Heights (Broadway/Daly),34.07,-118.217,108,234,458,1420,150.2,65642,0.186,326776,0.195
Glendale (Brand/Broadway),34.147,-118.255,356,463,528,801,117.0,116466,0.129,223607,0.101
Historic South Central (Central/Vernon),34.003,-118.256,99,193,388,1212,111.8,123892,0.143,415013,0.199
Culver City (Venice/Culver),34.023,-118.396,214,319,406,1076,104.7,81874,0.079,309304,0.085
Vernon industrial (Vernon/Santa Fe),34.0045,-118.23,41,113,307,1077,90.2,56819,0.133,369663,0.165
Pasadena (Colorado/Lake),34.1455,-118.132,0,0,8,127,8.0,69837,0.115,183182,0.077
Long Beach (Pine/Broadway),33.77,-118.193,0,0,0,43,2.1,86859,0.165,201480,0.124
