site,robbery_0.5mi,robbery_0.5mi_per_sqmi_mo,robbery_0.5mi_x_city,agg_assault_0.5mi,agg_assault_0.5mi_per_sqmi_mo,agg_assault_0.5mi_x_city,bike_stolen_0.5mi,bike_stolen_0.5mi_per_sqmi_mo,bike_stolen_0.5mi_x_city,vehicle_stolen_0.5mi,vehicle_stolen_0.5mi_per_sqmi_mo,vehicle_stolen_0.5mi_x_city,violent_0.5mi,violent_night_share_0.5mi,robbery_1.0mi,robbery_1.0mi_per_sqmi_mo,robbery_1.0mi_x_city,agg_assault_1.0mi,agg_assault_1.0mi_per_sqmi_mo,agg_assault_1.0mi_x_city,bike_stolen_1.0mi,bike_stolen_1.0mi_per_sqmi_mo,bike_stolen_1.0mi_x_city,vehicle_stolen_1.0mi,vehicle_stolen_1.0mi_per_sqmi_mo,vehicle_stolen_1.0mi_x_city,violent_1.0mi,violent_night_share_1.0mi
Koreatown West (Wilshire/Crenshaw),13,1.17,0.8,11,0.99,0.4,0,0.0,0.0,51,4.57,1.1,24,0.33,100,2.24,1.5,112,2.51,1.1,7,0.16,0.7,353,7.91,1.8,212,0.47
Silver Lake (Sunset/Silver Lake Blvd),17,1.52,1.0,9,0.81,0.4,5,0.45,2.1,55,4.93,1.1,26,0.35,71,1.59,1.0,63,1.41,0.6,27,0.61,2.9,304,6.81,1.6,134,0.45
Westwood (Westwood/Wilshire),17,1.52,1.0,24,2.15,1.0,14,1.26,5.9,23,2.06,0.5,41,0.39,39,0.87,0.6,60,1.34,0.6,34,0.76,3.6,130,2.91,0.7,99,0.39
Mid-City (Pico/Fairfax),13,1.17,0.8,35,3.14,1.4,4,0.36,1.7,58,5.2,1.2,48,0.35,82,1.84,1.2,139,3.12,1.4,17,0.38,1.8,276,6.19,1.4,221,0.4
Lincoln Heights (Broadway/Daly),34,3.05,2.0,29,2.6,1.2,4,0.36,1.7,100,8.97,2.1,63,0.29,80,1.79,1.2,117,2.62,1.2,10,0.22,1.1,258,5.78,1.3,197,0.37
Echo Park (Sunset/Echo Park Ave),43,3.86,2.5,55,4.93,2.2,7,0.63,3.0,119,10.67,2.5,98,0.44,113,2.53,1.6,145,3.25,1.5,18,0.4,1.9,442,9.91,2.3,258,0.48
Arts District (Traction/Alameda),43,3.86,2.5,80,7.17,3.2,12,1.08,5.1,131,11.75,2.7,123,0.39,401,8.99,5.8,759,17.01,7.6,36,0.81,3.8,623,13.97,3.2,1160,0.38
East Hollywood (Sunset/Vermont),58,5.2,3.4,74,6.64,3.0,2,0.18,0.8,93,8.34,1.9,132,0.49,161,3.61,2.3,203,4.55,2.0,28,0.63,3.0,384,8.61,2.0,364,0.46
Chinatown (Broadway/College),55,4.93,3.2,82,7.35,3.3,10,0.9,4.2,121,10.85,2.5,137,0.36,169,3.79,2.5,245,5.49,2.5,26,0.58,2.7,340,7.62,1.8,414,0.42
USC / Exposition (Figueroa/Jefferson),60,5.38,3.5,80,7.17,3.2,136,12.19,57.4,178,15.96,3.7,140,0.4,217,4.86,3.2,333,7.46,3.4,259,5.81,27.3,728,16.32,3.8,550,0.38
Historic South Central (Central/Vernon),58,5.2,3.4,84,7.53,3.4,1,0.09,0.4,182,16.32,3.8,142,0.32,215,4.82,3.1,345,7.73,3.5,4,0.09,0.4,672,15.06,3.5,560,0.37
Pico-Union (Pico/Union),79,7.08,4.6,107,9.59,4.3,3,0.27,1.3,177,15.87,3.7,186,0.44,459,10.29,6.7,601,13.47,6.1,100,2.24,10.6,932,20.89,4.8,1060,0.43
Koreatown South (Olympic/Normandie),69,6.19,4.0,123,11.03,5.0,5,0.45,2.1,224,20.08,4.6,192,0.38,353,7.91,5.1,494,11.07,5.0,28,0.63,3.0,820,18.38,4.2,847,0.43
Boyle Heights (Cesar Chavez/Soto),76,6.81,4.4,118,10.58,4.8,2,0.18,0.8,171,15.33,3.5,194,0.35,151,3.38,2.2,252,5.65,2.5,4,0.09,0.4,477,10.69,2.5,403,0.38
Koreatown Core (Wilshire/Western),78,6.99,4.5,129,11.57,5.2,10,0.9,4.2,271,24.3,5.6,207,0.43,280,6.28,4.1,375,8.41,3.8,19,0.43,2.0,790,17.71,4.1,655,0.41
DTLA South Park (Pico/Flower),140,12.55,8.2,174,15.6,7.0,34,3.05,14.4,433,38.82,8.9,314,0.46,625,14.01,9.1,738,16.54,7.4,93,2.08,9.8,1391,31.18,7.2,1363,0.41
Fashion District (9th/Santee),151,13.54,8.8,180,16.14,7.2,12,1.08,5.1,395,35.42,8.1,331,0.34,854,19.14,12.4,1152,25.82,11.6,92,2.06,9.7,1372,30.76,7.1,2006,0.39
